TRUE,Model 16,Model 15,Model 14,Model 13,Model 12,Model 11,Model 10,Model 9,Model 8,Model 7,Model 6,Model 5,Model 4,Model 3,Model 2,Model 1
0.000486685,0.000404907,0.000283219,0.000424615,0.000505258,0.000297989,0.000522728,0.000590304,0.000453858,0.000402896,0.000393278,0.000459391,0.000606229,0.000419078,0.000578259,0.000814246,0.000577219
0.000323922,0.000306869,0.00019413,0.000347357,0.000407727,0.000274683,0.00041844,0.000469081,0.000345857,0.000348676,0.000304738,0.000352629,0.000599251,0.000331392,0.000534803,0.000763667,0.000568967
0.000263047,0.000263217,0.000168073,0.00029911,0.000374862,0.000251265,0.000363661,0.000508741,0.000299565,0.000327633,0.000266467,0.000305808,0.000586775,0.000339468,0.00051572,0.000699358,0.00053396
0.000240074,0.000371117,0.000262229,0.00039439,0.000473361,0.000263037,0.00047235,0.000414318,0.000407051,0.000390109,0.0003691,0.000415654,0.000587767,0.000361071,0.000512617,0.000637067,0.000491947
0.00096234,0.000488976,0.000360577,0.000525026,0.000578805,0.000302157,0.000601335,0.000780782,0.000537522,0.000462584,0.000491264,0.000538769,0.000584885,0.000384638,0.00048155,0.00068056,0.000489868
0.000287069,0.000483886,0.000368424,0.000539416,0.000582226,0.000322283,0.00061135,0.000488191,0.000534413,0.000459064,0.000486405,0.000527568,0.000589338,0.00049009,0.000510277,0.000924252,0.00066895
0.0002406,0.00043748,0.000350916,0.000501537,0.000559234,0.000313901,0.000576938,0.000448289,0.000522869,0.000435422,0.00044867,0.000473067,0.000590619,0.000366469,0.000497167,0.00089911,0.000739244
0.000488879,0.000448875,0.000357253,0.000507456,0.000570006,0.000312986,0.000594431,0.000671869,0.000553605,0.000432085,0.00045748,0.000468968,0.000592714,0.000353192,0.000493162,0.000820553,0.000695284
0.000338661,0.000470926,0.000367213,0.000528803,0.000587252,0.000310444,0.000620933,0.000525385,0.000582013,0.000447745,0.000477091,0.000485872,0.000581717,0.00033643,0.000484598,0.000717837,0.00062724
0.000411061,0.000568573,0.000479459,0.000620944,0.000684367,0.000325888,0.000727301,0.00057712,0.000657095,0.00049496,0.000549091,0.000566276,0.000602254,0.000557831,0.000622324,0.000712745,0.000587603
0.001297147,0.000726014,0.000630764,0.000796601,0.000858287,0.000350933,0.000892778,0.000956302,0.000887236,0.000592899,0.00071055,0.000709447,0.000606887,0.000466779,0.000538222,0.000672712,0.000540203
0.00067907,0.000748532,0.000624276,0.000815967,0.000863586,0.000367114,0.00091775,0.000723012,0.000830896,0.000588263,0.000728419,0.000717885,0.000608757,0.000449366,0.000523177,0.000685146,0.000520261
0.00080158,0.000551364,0.000442824,0.000599838,0.000653062,0.000333215,0.000717088,0.00070146,0.000570421,0.0004789,0.000553075,0.000537294,0.000581414,0.000546582,0.000569021,0.000625957,0.00047823
0.000633772,0.000449345,0.000312389,0.000522082,0.00056148,0.000277113,0.000626783,0.000601769,0.000557581,0.000419745,0.000464404,0.000431613,0.000606852,0.000525683,0.000563126,0.0005987,0.000474123
0.000452466,0.000454775,0.00031223,0.000538213,0.000583792,0.00022429,0.000644768,0.000533421,0.000512507,0.00043499,0.000461532,0.00044537,0.000596705,0.000488163,0.000514675,0.000544792,0.000453402
0.000370363,0.000475654,0.000370853,0.00051602,0.000575518,0.000204847,0.000660224,0.000596021,0.000429628,0.000446994,0.000420887,0.000477062,0.000613597,0.000797741,0.000702305,0.0006458,0.000496224
0.000350916,0.000509903,0.0003804,0.000559585,0.000588946,0.000202207,0.000685434,0.000565278,0.000565844,0.000472502,0.000455394,0.000504758,0.000639341,0.000624703,0.000688308,0.00067076,0.000485379
0.000340516,0.000546395,0.00040987,0.000596069,0.000624715,0.000246818,0.000705832,0.000612991,0.000561434,0.000474904,0.000512,0.000530372,0.000648099,0.000624173,0.00073238,0.000675489,0.000470888
0.000421368,0.000472832,0.000388388,0.000498525,0.000571479,0.000281289,0.000603346,0.000535048,0.000484703,0.0004333,0.000461028,0.000470921,0.000624725,0.00048155,0.000745638,0.000696,0.000465148
0.000406612,0.000389829,0.00027256,0.000424654,0.000486779,0.000264641,0.000508719,0.000498366,0.000456705,0.000371907,0.000376159,0.000371914,0.000644798,0.000426979,0.000733003,0.000882221,0.000584366
0.000271122,0.000361592,0.000220942,0.000395412,0.000449497,0.000236756,0.000475789,0.000440187,0.000377076,0.000364558,0.000361309,0.000351032,0.000611206,0.00035288,0.000633946,0.00078059,0.000533748
0.000388889,0.000419791,0.000273386,0.000431105,0.000499776,0.000252039,0.000525528,0.000537349,0.000410639,0.000386659,0.000388819,0.000411993,0.000604944,0.000371873,0.000598638,0.000732068,0.000531056
