TRUE,Model 16,Model 15,Model 14,Model 13,Model 12,Model 11,Model 10,Model 9,Model 8,Model 7,Model 6,Model 5,Model 4,Model 3,Model 2,Model 1
0.000679077,0.00064606,0.000589569,0.000670763,0.000629634,0.000467085,0.00055466,0.000549226,0.000577299,0.000552048,0.000657128,0.000301348,0.000513396,0.000428386,0.000466689,0.000522769,0.000426405
0.000498868,0.000570411,0.000575828,0.000604384,0.00055311,0.000485104,0.000486104,0.000527081,0.000446729,0.000518703,0.000612358,0.000270091,0.000533856,0.000418669,0.000460365,0.000500534,0.000417746
0.000356021,0.000474786,0.000493931,0.000519439,0.000442484,0.000477974,0.000353402,0.000475268,0.000342045,0.000462128,0.000479149,0.000251056,0.000519973,0.000411161,0.000439225,0.000458909,0.000400906
0.00030664,0.000353569,0.000344213,0.000399349,0.000310266,0.000449616,0.000218473,0.000416921,0.000279055,0.000401786,0.00035175,0.000208823,0.000524146,0.000472318,0.000492003,0.000547795,0.000436641
0.000303419,0.000296049,0.000289981,0.000336135,0.000264332,0.000416643,0.000171704,0.000582373,0.000358962,0.000380823,0.000287281,0.000170798,0.000553043,0.000459171,0.000498839,0.000577591,0.000431825
0.000297734,0.000285783,0.000350746,0.000324461,0.000285976,0.000394033,0.000211275,0.00043131,0.000219106,0.000383329,0.000292982,0.000171342,0.000545085,0.000472465,0.000516823,0.000572856,0.000415251
0.00036418,0.000292252,0.00044835,0.000337719,0.000315735,0.000383861,0.00025988,0.000413974,0.000189169,0.000391641,0.000322732,0.000194116,0.000537966,0.000459422,0.000520795,0.000581653,0.000405274
0.000352922,0.000306369,0.000496167,0.000368234,0.000338601,0.000389716,0.000276512,0.000498033,0.00027357,0.000397096,0.000344398,0.000205346,0.000549222,0.000452838,0.000520167,0.000736328,0.00049725
0.000223425,0.00032868,0.000491738,0.000395836,0.000361636,0.000414831,0.000277462,0.000387645,0.000284749,0.000393694,0.000354068,0.000226519,0.000528919,0.00043196,0.000496274,0.000648497,0.000457892
0.000352033,0.000389919,0.000497666,0.000439158,0.000416962,0.000447942,0.000320343,0.000419381,0.000371523,0.000407872,0.000394296,0.000273822,0.000527561,0.000427377,0.000483749,0.000610581,0.000453454
0.000475379,0.000410776,0.000484105,0.000449975,0.000437092,0.000471243,0.000359728,0.000657921,0.000330198,0.000413424,0.000419128,0.000310498,0.000523025,0.000422069,0.000471032,0.000535448,0.00041932
0.000259382,0.000364255,0.00043455,0.000406187,0.000383729,0.000478268,0.000340964,0.000438172,0.00032481,0.000400113,0.000407585,0.000281115,0.000520434,0.000416604,0.000470136,0.00068209,0.000504634
0.00027246,0.000320067,0.000396268,0.000367174,0.000330118,0.00047282,0.000295599,0.000364679,0.00030791,0.000389805,0.000379224,0.000211921,0.000521636,0.000428518,0.000472649,0.000633959,0.000487329
0.000393864,0.000313731,0.00039735,0.000364193,0.000324071,0.000459835,0.000269613,0.000419485,0.000284232,0.000394333,0.000358458,0.000160579,0.000521281,0.000415359,0.000466662,0.00060692,0.000498814
0.000268232,0.000321167,0.000405333,0.000378273,0.000336214,0.00044718,0.000260652,0.000294681,0.000262544,0.000399206,0.000348527,0.000130492,0.000517381,0.000428525,0.000472379,0.000540727,0.000459428
0.000304772,0.00032385,0.000387714,0.000387517,0.000335512,0.000441873,0.000247556,0.000305638,0.000274979,0.000400019,0.000349313,0.00010828,0.000522003,0.000432657,0.000480338,0.000501322,0.000438529
0.000307693,0.000363605,0.00039409,0.000426653,0.000370727,0.000445363,0.000268971,0.000390609,0.00033017,0.000419571,0.000378295,0.00012415,0.000527026,0.000428844,0.000472279,0.000472904,0.000426031
0.000395735,0.000429625,0.000434306,0.000485344,0.000436166,0.000450715,0.000320528,0.000410046,0.000346632,0.000451302,0.000433748,0.000184371,0.000518675,0.00042763,0.000470071,0.000435872,0.000396323
0.000368797,0.0004685,0.000446754,0.000517871,0.000464722,0.000446782,0.000351289,0.0003879,0.000421259,0.000468598,0.000474772,0.000230953,0.000518472,0.000442409,0.000481283,0.000392686,0.000369255
0.00067758,0.000481296,0.000441399,0.0005277,0.000463776,0.000435174,0.000341552,0.00045689,0.000450427,0.00046522,0.000483338,0.000231652,0.000525218,0.000413312,0.000461345,0.000378687,0.000348597
0.000468723,0.000475246,0.000454416,0.000525378,0.000462082,0.000431843,0.000333011,0.000401464,0.000368468,0.000467358,0.000500995,0.000231529,0.000518826,0.000413145,0.000457263,0.00037242,0.0003589
0.000438009,0.000500112,0.000495596,0.000551018,0.000488644,0.000438411,0.000357622,0.000373731,0.000415138,0.000492714,0.000541457,0.000255585,0.000518053,0.000418322,0.000461075,0.000409403,0.000365387
